r, cx, cy
0.0, 38.1, 52.3875
0.0, 57.150000000000006, 42.862500000000004
6.359660239728469, 77.19646153846153, 39.2136923076923
12.719320479456938, 96.9961973964497, 42.54106224852071
19.078980719185406, 116.3055185172508, 48.04115757705961
25.438640958913876, 134.88677171783957, 55.646284812342444
-25.438640958913876, 188.96322828216046, 55.646284812342444
-19.078980719185406, 207.5444814827492, 48.04115757705961
-12.719320479456938, 226.85380260355032, 42.54106224852071
-6.359660239728469, 246.65353846153846, 39.2136923076923
0.0, 266.7, 42.862500000000004
0.0, 285.75, 52.3875
0.0, 38.1, 71.4375
0.0, 57.150000000000006, 61.9125
7.152668749994702, 77.31186770428016, 58.410116731517505
14.305337499989404, 97.15993202016685, 62.17085421429546
21.45800624998411, 116.38527365869687, 68.37367956922444
28.61067499997881, 134.68866551265572, 76.92205076743396
-28.61067499997881, 189.1613344873443, 76.92205076743396
-21.45800624998411, 207.46472634130313, 68.37367956922444
-14.305337499989404, 226.69006797983317, 62.17085421429546
-7.152668749994702, 246.53813229571986, 58.410116731517505
0.0, 266.7, 61.9125
0.0, 285.75, 71.4375
0.0, 38.1, 90.4875
0.0, 57.150000000000006, 80.9625
8.171233559949753, 77.45710659898477, 77.6505076142132
16.342467119899506, 97.35188616042672, 81.97257852559972
24.513700679849258, 116.43038376937267, 89.07845494915682
32.68493423979901, 134.30521876371208, 98.82385513009147
-32.68493423979901, 189.54478123628795, 98.82385513009147
-24.513700679849258, 207.41961623062733, 89.07845494915682
-16.342467119899506, 226.4981138395733, 81.97257852559972
-8.171233559949753, 246.39289340101524, 77.6505076142132
0.0, 266.7, 80.9625
0.0, 285.75, 90.4875
19.054566762904713, 97.5749607609988, 102.03460879904875
28.581850144357066, 116.38957777686663, 110.33998701053756
38.109133525809426, 133.56999954371742, 121.64495178725288
-38.109133525809426, 190.28000045628258, 121.64495178725288
-28.581850144357066, 207.46042222313338, 110.33998701053756
-19.054566762904713, 226.27503923900122, 102.03460879904875
